Date,Open,High,Low,Close,Adj Close,Volume,OpenA,HighA,LowA,CloseA,Adj CloseA,VolumeA,OpenB,HighB,LowB,CloseB,Adj CloseB,VolumeB,OpenC,HighC,LowC,CloseC,Adj CloseC,VolumeC
2020-05-20,820.5,826,811.799988,815.559998,815.559998,7309300,2477.870117,2500.01001,2467.27002,2497.939941,2497.939941,3998100,3062.01001,3132.679932,3057,3131.300049,3131.300049,300,1578.52002,1605.73999,1578.199951,1599.150024,1599.150024,700000
2020-05-21,816,832.5,796,827.599976,827.599976,12254600,2500,2525.449951,2442.540039,2446.73999,2446.73999,5114400,3070,3149.98999,2977.399902,2992.050049,2992.050049,500,1605,1623.439941,1575.790039,1595.680054,1595.680054,631900
2020-05-22,822.169983,831.780029,812,816.880005,816.880005,9987500,2455.01001,2469.850098,2430.129883,2436.879883,2436.879883,2867100,2992,3025,2950.01001,2999,2999,1300,1591.73999,1637.290039,1584.650024,1631.300049,1631.300049,574600
2020-05-26,834.5,834.599976,815.710022,818.869995,818.869995,8089700,2458,2462,2414.060059,2421.860107,2421.860107,3568200,3011.01001,3090,2970.100098,2980,2980,500,1704.319946,1764.900024,1692.109985,1746.910034,1746.910034,1201000
2020-05-27,820.859985,827.710022,785,820.22998,820.22998,11549500,2404.98999,2413.580078,2330,2410.389893,2410.389893,5056900,3050,3050,2991.929932,2992.320068,2992.320068,600,1775.930054,1788,1692.609985,1698.72998,1698.72998,1017900
2020-05-28,813.51001,824.75,801.690002,805.809998,805.809998,7255600,2384.330078,2436.969971,2378.22998,2401.100098,2401.100098,3190200,3012.5,3070,2998,3000,3000,700,1695.589966,1708,1644.02002,1648.98999,1648.98999,664100
2020-05-29,808.75,835,804.210022,835,835,11812500,2415.939941,2442.370117,2398.199951,2442.370117,2442.370117,3529300,2952.909912,3019.209961,2933.48999,2940,2940,800,1657,1657,1618.430054,1639.420044,1639.420044,696800
2020-06-01,858,899,854.099976,898.099976,898.099976,14939500,2448,2476.929932,2444.169922,2471.040039,2471.040039,2928900,2956.77002,2999,2900.300049,2952.25,2952.25,600,1633.119995,1684.170044,1633.119995,1670.72998,1670.72998,490100
2020-06-02,894.700012,908.659973,871,881.559998,881.559998,13565600,2467,2473.530029,2445.310059,2472.409912,2472.409912,2529900,2967.629883,3025,2920,2952.709961,2952.709961,1300,1690,1692.050049,1653.579956,1655,1655,513600
2020-06-03,888.119995,897.940002,880.099976,882.960022,882.960022,7949500,2468.01001,2488,2461.169922,2478.399902,2478.399902,2671000,2972.23999,3025.100098,2940,3000,3000,500,1704.030029,1743.839966,1694.290039,1725.969971,1725.969971,597500
2020-06-04,889.880005,895.75,858.440002,864.380005,864.380005,8887700,2477.429932,2507.540039,2450.01001,2460.600098,2460.600098,2948700,3029.97998,3029.98999,2951,3015,3015,600,1714.900024,1749.180054,1706,1742.640015,1742.640015,502400
2020-06-05,877.840027,886.52002,866.200012,885.659973,885.659973,7811900,2444.51001,2488.649902,2437.129883,2483,2483,3306400,3039.98999,3099.97998,2991,3022.669922,3022.669922,700,1826.76001,1853.380005,1802.849976,1812.640015,1812.640015,1034400
